,Player,Team,Appearances,Mins,Goals,Assists,xGoals,xAssists,xGoals per 90,xAssists per 90
231,Daniel James,Leeds ,4,348,0,1,0.97+0.97,0.17-0.83,0.25,0.04
232,Aaron Ramsdale,Arsenal ,4,360,0,0,0.00,0.00,0.00,0.00
233,Yves Bissouma,Brighton ,1,62,0,0,0.02+0.02,0.00,0.03,0.00
234,Anwar El Ghazi,Aston Villa ,2,23,0,0,0.00,0.02+0.02,0.00,0.07
235,Pierre Lees-Melou,Norwich ,3,221,0,0,0.10+0.10,0.03+0.03,0.04,0.01
236,Malang Sarr,Chelsea ,1,90,0,0,0.00,0.00,0.00,0.00
237,Nicolas Pepe,Arsenal ,3,119,0,0,0.19+0.19,0.00,0.15,0.00
238,Ismaila Sarr,Watford ,4,338,0,0,0.40+0.40,0.44+0.44,0.11,0.12
239,Giovani Lo Celso,Tottenham ,3,92,0,0,0.59+0.59,0.56+0.56,0.57,0.55
240,Fernando Marçal,Wolverhampton Wanderers ,2,167,0,0,0.00,0.00,0.00,0.00
241,Jean-Philippe Mateta,Crystal Palace ,1,2,0,0,0.00,0.00,0.00,0.00
242,Jan Bednarek ,Southampton,4,360,0,0,0.06+0.06,0.00,0.01,0.00
243,Charlie Taylor,Burnley ,3,270,0,1,0.04+0.04,0.74-0.26,0.01,0.25
244,Shane Duffy,Brighton ,3,270,0,0,0.20+0.20,0.00,0.07,0.00
245,Lewis Dunk,Brighton ,4,360,0,0,0.12+0.12,0.10+0.10,0.03,0.02
246,Solly March,Brighton ,4,206,0,1,0.40+0.40,0.78-0.22,0.17,0.34
247,Ederson,Manchester City ,3,270,0,0,0.00,0.00,0.00,0.00
248,Isaac Hayden,Newcastle United ,4,340,0,0,0.00,0.00,0.00,0.00
249,Jacob Murphy,Newcastle United ,2,22,0,0,0.02+0.02,0.00,0.10,0.00
250,Victor Lindelöf,Manchester United ,4,360,0,1,0.00,0.25-0.75,0.00,0.06
251,Douglas Luiz,Aston Villa ,3,251,0,0,0.02+0.02,0.11+0.11,0.01,0.04
252,Timothy Castagne,Leicester ,4,360,0,0,0.05+0.05,0.04+0.04,0.01,0.01
253,Nélson Semedo,Wolverhampton Wanderers ,4,360,0,0,0.00,0.50+0.50,0.00,0.13
254,Lyanco ,Southampton,1,1,0,0,0.00,0.00,0.00,0.00
255,Andriy Yarmolenko,West Ham ,1,1,0,0,0.00,0.00,0.00,0.00
256,Nikola Vlasic,West Ham ,1,1,0,0,0.00,0.00,0.00,0.00
257,Boubakary Soumare,Leicester ,4,298,0,0,0.04+0.04,0.00,0.01,0.00
258,Joachim Andersen,Crystal Palace ,4,360,0,0,0.00,0.02+0.02,0.00,0.00
259,Ibrahima Konaté,Liverpool ,2,180,0,0,0.00,0.00,0.00,0.00
260,Jadon Sancho,Manchester United ,2,101,0,0,0.05+0.05,0.37+0.37,0.05,0.33
261,Hamza Choudhury,Leicester ,1,62,0,0,0.00,0.00,0.00,0.00
262,Júnior Firpo,Leeds ,1,90,0,0,0.00,0.10+0.10,0.00,0.10
263,Romain Perraud ,Southampton,2,180,0,0,0.03+0.03,0.05+0.05,0.01,0.02
264,Yerry Mina,Everton ,1,90,0,0,0.02+0.02,0.00,0.02,0.00
265,Milot Rashica,Norwich ,4,150,0,1,0.55+0.55,0.22-0.78,0.33,0.13
266,Joe Willock,Newcastle United ,4,163,0,0,0.00,0.00,0.00,0.00
267,Curtis Jones,Liverpool ,3,243,0,1,0.15+0.15,0.19-0.81,0.06,0.07
268,Rayan Ait Nouri,Wolverhampton Wanderers ,2,174,0,1,0.06+0.06,0.19-0.81,0.03,0.10
269,Harvey Barnes,Leicester ,2,132,0,1,0.95+0.95,0.35-0.65,0.65,0.24
270,Ibrahima Diallo ,Southampton,4,229,0,1,0.04+0.04,0.19-0.81,0.02,0.08
271,Dwight McNeil,Burnley ,4,360,0,1,0.19+0.19,0.58-0.42,0.05,0.15
272,Fred,Manchester United ,3,251,0,0,0.01+0.01,0.11+0.11,0.00,0.04
273,Ken Sema,Watford ,2,87,0,0,0.00,0.00,0.00,0.00
274,Kortney Hause,Aston Villa ,2,172,0,0,0.00,0.00,0.00,0.00
275,Edouard Mendy,Chelsea ,4,360,0,0,0.00,0.00,0.00,0.00
276,Stuart Armstrong ,Southampton,3,63,0,0,0.00,0.08+0.08,0.00,0.11
277,Mohamed Elyounoussi ,Southampton,4,253,0,0,0.68+0.68,0.14+0.14,0.24,0.05
278,Mohammed Salisu ,Southampton,4,360,0,0,0.05+0.05,0.09+0.09,0.01,0.02
279,Juan Camilo Hernández,Watford ,3,228,0,1,0.31+0.31,0.33-0.67,0.12,0.13
280,William Troost-Ekong,Watford ,4,360,0,0,0.00,0.07+0.07,0.00,0.02
281,Sean Longstaff,Newcastle United ,4,310,0,0,0.07+0.07,0.00,0.02,0.00
282,Francisco Sierralta,Watford ,1,70,0,0,0.00,0.00,0.00,0.00
283,Christian Nørgaard,Brentford ,4,360,0,1,0.40+0.40,0.68-0.32,0.10,0.17
284,Marc Cucurella,Brighton ,4,339,0,0,0.02+0.02,0.91+0.91,0.00,0.24
285,Mathias Jensen,Brentford ,4,312,0,1,0.13+0.13,0.29-0.71,0.04,0.08
286,Sergio Reguilón,Tottenham ,3,265,0,1,0.02+0.02,0.21-0.79,0.01,0.07
287,Oliver Skipp,Tottenham ,4,337,0,0,0.00,0.00,0.00,0.00
288,Cristian Romero,Tottenham ,4,360,0,0,0.00,0.00,0.00,0.00
289,Leander Dendoncker,Wolverhampton Wanderers ,4,182,0,1,0.01+0.01,0.71-0.29,0.01,0.35
290,Diogo Dalot,Manchester United ,1,23,0,0,0.00,0.04+0.04,0.00,0.17
291,Joshua Sargent,Norwich ,4,317,0,0,0.36+0.36,0.19+0.19,0.10,0.05
292,Ben White,Arsenal ,4,360,0,0,0.09+0.09,0.52+0.52,0.02,0.13
293,Bukayo Saka,Arsenal ,4,316,0,1,0.99+0.99,0.66-0.34,0.28,0.19
294,Bryan Gil Salvatierra,Tottenham ,2,6,0,0,0.00,0.00,0.00,0.00
295,Ozan Kabak,Norwich ,4,360,0,0,0.21+0.21,0.00,0.05,0.00
296,Dan Burn,Brighton ,3,239,0,0,0.10+0.10,0.02+0.02,0.04,0.01
297,Miguel Almirón,Newcastle United ,3,122,0,0,0.01+0.01,0.01+0.01,0.01,0.01
298,Emerson,Tottenham ,4,360,0,0,0.06+0.06,0.11+0.11,0.02,0.03
299,Mathias Normann,Norwich ,4,356,0,0,0.40+0.40,0.10+0.10,0.10,0.03
300,Marc Guehi,Crystal Palace ,4,360,0,0,0.10+0.10,0.00,0.03,0.00
301,Max Aarons,Norwich ,4,360,0,0,0.12+0.12,0.56+0.56,0.03,0.14
