,Player,Team,Appearances,Mins,Goals,Assists,xGoals,xAssists,xGoals per 90,xAssists per 90
144,Karl Darlow,Newcastle United ,4,360,0,0,0.00,0.00,0.00,0.00
145,Nathan Redmond ,Southampton,4,360,0,2,0.99+0.99,1.35-0.65,0.25,0.34
146,Ben Foster,Watford ,4,360,0,0,0.00,0.00,0.00,0.00
147,Craig Dawson,West Ham ,2,11,0,0,0.00,0.00,0.00,0.00
148,Jonny Evans,Leicester ,3,270,0,0,0.71+0.71,0.00,0.24,0.00
149,Salomón Rondón,Everton ,3,270,0,0,0.49+0.49,0.11+0.11,0.16,0.04
150,Virgil van Dijk,Liverpool ,4,360,0,0,0.00,0.04+0.04,0.00,0.01
151,Ryan Bertrand,Leicester ,1,90,0,0,0.00,0.00,0.00,0.00
152,Oriol Romeu ,Southampton,4,360,0,0,0.09+0.09,0.17+0.17,0.02,0.04
153,Jay Rodriguez,Burnley ,3,78,0,0,0.16+0.16,0.00,0.18,0.00
154,Ciaran Clark,Newcastle United ,4,360,0,0,0.03+0.03,0.07+0.07,0.01,0.02
155,Matt Targett,Aston Villa ,4,360,0,1,0.05+0.05,1.29+0.29,0.01,0.32
156,Kyle Walker-Peters ,Southampton,2,180,0,0,0.00,1.28+1.28,0.00,0.64
157,Erik Pieters,Burnley ,1,90,0,0,0.00,0.00,0.00,0.00
158,Adama Traoré,Wolverhampton Wanderers ,3,168,0,0,0.37+0.37,0.04+0.04,0.20,0.02
159,Axel Tuanzebe,Aston Villa ,2,142,0,0,0.00,0.00,0.00,0.00
160,Kurt Zouma,West Ham ,4,360,0,0,0.07+0.07,0.00,0.02,0.00
161,Alex Oxlade-Chamberlain,Liverpool ,3,116,0,1,0.09+0.09,0.52-0.48,0.07,0.40
162,Tim Krul,Norwich ,4,360,0,0,0.00,0.00,0.00,0.00
163,Joseph Gomez,Liverpool ,1,11,0,0,0.00,0.00,0.00,0.00
164,Ivan Toney,Brentford ,4,360,0,0,0.77+0.77,0.42+0.42,0.19,0.10
165,Luke Shaw,Manchester United ,4,360,0,0,0.01+0.01,0.17+0.17,0.00,0.04
166,Tyler Roberts,Leeds ,4,135,0,0,0.21+0.21,0.22+0.22,0.14,0.14
167,Matej Vydra,Burnley ,3,55,0,0,0.07+0.07,0.00,0.11,0.00
168,Tyrone Mings,Aston Villa ,4,306,0,0,0.00,0.00,0.00,0.00
169,Kieran Dowell,Norwich ,1,70,0,0,0.03+0.03,0.03+0.03,0.04,0.04
170,Sergi Canos,Brentford ,4,334,0,0,0.20+0.20,0.15+0.15,0.05,0.04
171,Bruno Fernandes,Manchester United ,4,324,0,3,0.16+0.16,0.88-2.12,0.04,0.25
172,Alisson,Liverpool ,3,270,0,0,0.00,0.00,0.00,0.00
173,Allan,Everton ,3,270,0,0,0.08+0.08,0.01+0.01,0.03,0.00
174,Adam Masina,Watford ,3,227,0,0,0.04+0.04,0.04+0.04,0.02,0.01
175,Emil Krafth,Newcastle United ,2,180,0,1,0.09+0.09,0.09-0.91,0.04,0.05
176,Michael Keane,Everton ,3,270,0,1,0.19+0.19,0.24-0.76,0.06,0.08
177,Ben Mee,Burnley ,1,90,0,0,0.06+0.06,0.00,0.06,0.00
178,Johann Berg Gudmundsson,Burnley ,4,140,0,0,0.84+0.84,0.07+0.07,0.54,0.04
179,James Tarkowski,Burnley ,4,360,0,0,0.57+0.57,0.00,0.14,0.00
180,Ashley Fletcher,Watford ,1,6,0,0,0.42+0.42,0.00,6.32,0.00
181,Ryan Fraser,Newcastle United ,3,142,0,0,0.08+0.08,0.04+0.04,0.05,0.03
182,Harry Maguire,Manchester United ,3,270,0,0,0.13+0.13,0.00,0.04,0.00
183,Andrew Robertson,Liverpool ,4,335,0,0,0.00,0.06+0.06,0.00,0.02
184,Ben Gibson,Norwich ,3,246,0,0,0.01+0.01,0.02+0.02,0.00,0.01
185,Adam Forshaw,Leeds ,2,38,0,0,0.00,0.06+0.06,0.00,0.14
186,Javier Manquillo,Newcastle United ,4,343,0,2,0.03+0.03,0.46-1.54,0.01,0.12
187,Christian Kabasele,Watford ,1,20,0,0,0.00,0.00,0.00,0.00
188,Abdoulaye Doucouré,Everton ,2,180,0,1,0.21+0.21,0.73-0.27,0.11,0.37
189,Paul Pogba,Manchester United ,3,124,0,0,0.25+0.25,0.12+0.12,0.18,0.09
