,Players,Costs,Total points,Positions,PPG,Team,Points per mil,Clean name
16,Gabriel,5.3,81,DEF,5.1,ARS,15.28,gabriel
251,Alexander-Arnold,8.3,126,DEF,7.9,LIV,15.18,alexander-arnold
445,Saïss,5.0,75,DEF,4.2,WOL,15.00,saiss
139,Gallagher,6.1,91,MID,5.4,CRY,14.92,gallagher
18,White,4.5,67,DEF,3.9,ARS,14.89,white
121,Rüdiger,6.2,90,DEF,5.0,CHE,14.52,rudiger
452,Kilman,4.5,65,DEF,3.6,WOL,14.44,kilman
11,Tierney,4.9,70,DEF,5.4,ARS,14.29,tierney
14,Smith Rowe,6.1,87,MID,5.1,ARS,14.26,smith rowe
275,Dias,6.2,88,DEF,4.9,MCI,14.19,dias
24,Tomiyasu,4.8,68,DEF,4.5,ARS,14.17,tomiyasu
133,James,6.4,90,DEF,6.0,CHE,14.06,james
415,Dennis,6.0,84,FWD,5.6,WAT,14.00,dennis
285,de Gea,5.1,71,GKP,4.2,MUN,13.92,de gea
15,Saka,6.3,87,MID,4.6,ARS,13.81,saka
83,Sánchez,4.6,62,GKP,3.9,BHA,13.48,sanchez
379,Dier,4.6,61,DEF,3.8,TOT,13.26,dier
116,Thiago Silva,5.6,74,DEF,4.6,CHE,13.21,thiago silva
388,Reguilón,5.3,70,DEF,4.7,TOT,13.21,reguilon
423,Fabianski,5.0,66,GKP,3.7,WHU,13.20,fabianski
375,Lloris,5.4,71,GKP,4.4,TOT,13.15,lloris
272,Laporte,5.5,72,DEF,4.8,MCI,13.09,laporte
247,Salah,13.0,170,MID,9.4,LIV,13.08,salah
49,Jansson,4.6,60,DEF,3.5,BRE,13.04,jansson
118,Jorginho,5.9,76,MID,4.8,CHE,12.88,jorginho
270,Ederson,6.0,77,GKP,4.3,MCI,12.83,ederson
433,Benrahma,5.9,75,MID,4.2,WHU,12.71,benrahma
245,Alisson,6.0,76,GKP,4.5,LIV,12.67,alisson
223,Raphinha,6.5,82,MID,5.1,LEE,12.62,raphinha
243,van Dijk,6.6,83,DEF,5.2,LIV,12.58,van dijk
134,Mendy,6.2,78,GKP,4.3,CHE,12.58,mendy
274,Bernardo,7.6,95,MID,5.3,MCI,12.50,bernardo
22,Ødegaard,5.6,70,MID,4.1,ARS,12.50,ødegaard
434,Bowen,6.5,80,MID,4.4,WHU,12.31,bowen
368,Livramento,4.4,54,DEF,3.0,SOU,12.27,livramento
26,Martínez,5.5,67,GKP,3.9,AVL,12.18,martinez
238,Henderson,5.1,62,MID,3.9,LIV,12.16,henderson
450,Semedo,4.8,58,DEF,3.6,WOL,12.08,semedo
360,Bednarek,4.4,53,DEF,4.1,SOU,12.05,bednarek
105,Lowton,4.4,53,DEF,3.5,BUR,12.05,lowton
180,Gray,5.5,66,MID,4.1,EVE,12.00,gray
31,Mings,5.0,60,DEF,3.5,AVL,12.00,mings
54,Henry,4.5,54,DEF,3.4,BRE,12.00,henry
62,Pinnock,4.5,53,DEF,3.3,BRE,11.78,pinnock
353,McCarthy,4.5,53,GKP,3.5,SOU,11.78,mccarthy
158,Guéhi,4.6,54,DEF,3.2,CRY,11.74,guehi
140,Guaita,4.6,54,GKP,3.4,CRY,11.74,guaita
136,Chalobah,4.7,55,DEF,4.6,CHE,11.70,chalobah
199,Maddison,6.8,79,MID,4.6,LEI,11.62,maddison
