Number,Players,Clean name,Influence,Creativity,Threat,ICT index,Team
308,Almirón,almiron,0.4,0.5,8.0,0.9,Newcastle
259,Laporte,laporte,0.0,12.2,0.0,0.9,Man City
74,Mac Allister,mac allister,6.2,1.6,0.0,0.8,Brighton
375,Ndombele,ndombele,5.0,2.8,0.0,0.8,Spurs
353,Lloris,lloris,7.4,0.0,0.0,0.7,Spurs
391,Sema,sema,2.6,4.0,0.0,0.7,Watford
38,Mings,mings,2.0,0.8,4.0,0.7,Aston Villa
373,Skipp,skipp,4.8,1.1,0.0,0.6,Spurs
239,Keita,keita,3.4,2.1,0.0,0.6,Liverpool
155,Schlupp,schlupp,1.4,0.2,4.0,0.6,Crystal Palace
71,Lamptey,lamptey,1.2,0.5,4.0,0.6,Brighton
75,Moder,moder,3.8,1.3,0.0,0.5,Brighton
363,Dele,dele,0.8,2.1,2.0,0.5,Spurs
315,Pukki,pukki,0.4,1.3,3.0,0.5,Norwich
376,Foster,foster,4.0,0.0,0.0,0.4,Watford
17,Pépé,pepe,2.6,0.9,0.0,0.4,Arsenal
111,Vydra,vydra,1.2,0.3,2.0,0.4,Burnley
455,Daka,daka,1.0,0.9,2.0,0.4,Leicester
254,Mahrez,mahrez,0.0,1.4,4.0,0.4,Man City
349,Diallo,diallo,3.4,0.0,0.0,0.3,Southampton
270,de Gea,de gea,2.8,0.0,0.0,0.3,Man Utd
504,Gbamin,gbamin,2.8,0.3,0.0,0.3,Everton
586,Edouard,edouard,2.2,0.3,0.0,0.3,Crystal Palace
582,Vlasic,vlasic,2.0,0.7,0.0,0.3,West Ham
298,Fraser,fraser,0.6,0.7,2.0,0.3,Newcastle
296,Wilson,wilson,0.0,1.6,6.0,0.3,Newcastle
567,Lyanco,lyanco,2.2,0.0,0.0,0.2,Southampton
592,Saúl,saul,2.0,0.3,0.0,0.2,Chelsea
328,Placheta,placheta,0.0,0.0,2.0,0.2,Norwich
369,Bergwijn,bergwijn,0.0,2.1,0.0,0.2,Spurs
528,Tzolis,tzolis,1.2,0.1,0.0,0.1,Norwich
438,Podence,podence,1.0,0.3,0.0,0.1,Wolves
339,S.Armstrong,s.armstrong,0.4,0.5,0.0,0.1,Southampton
418,Coufal,coufal,0.0,0.6,0.0,0.1,West Ham
11,Kolasinac,kolasinac,0.2,0.2,0.0,0.0,Arsenal
276,Lingard,lingard,0.2,0.1,0.0,0.0,Man Utd
329,Idah,idah,0.2,0.1,0.0,0.0,Norwich
434,Dendoncker,dendoncker,0.2,0.0,0.0,0.0,Wolves
1,Leno,leno,0.0,0.0,0.0,0.0,Arsenal
2,Rúnarsson,runarsson,0.0,0.0,0.0,0.0,Arsenal
3,Willian,willian,0.0,0.0,0.0,0.0,Arsenal
5,Cédric,cedric,0.0,0.0,0.0,0.0,Arsenal
7,Xhaka,xhaka,0.0,0.0,0.0,0.0,Arsenal
8,Marí,mari,0.0,0.0,0.0,0.0,Arsenal
9,Bellerín,bellerin,0.0,0.0,0.0,0.0,Arsenal
10,Chambers,chambers,0.0,0.0,0.0,0.0,Arsenal
12,Elneny,elneny,0.0,0.0,0.0,0.0,Arsenal
13,Maitland-Niles,maitland-niles,0.0,0.0,0.0,0.0,Arsenal
14,Holding,holding,0.0,0.0,0.0,0.0,Arsenal
16,Tierney,tierney,0.0,0.0,0.0,0.0,Arsenal
18,Torreira,torreira,0.0,0.0,0.0,0.0,Arsenal
19,Willock,willock,0.0,0.0,0.0,0.0,Newcastle
20,Nketiah,nketiah,0.0,0.0,0.0,0.0,Arsenal
24,Mavropanos,mavropanos,0.0,0.0,0.0,0.0,Arsenal
25,Guendouzi,guendouzi,0.0,0.0,0.0,0.0,Arsenal
26,Martinelli,martinelli,0.0,0.0,0.0,0.0,Arsenal
27,Saliba,saliba,0.0,0.0,0.0,0.0,Arsenal
28,Steer,steer,0.0,0.0,0.0,0.0,Aston Villa
29,Hourihane,hourihane,0.0,0.0,0.0,0.0,Aston Villa
31,Engels,engels,0.0,0.0,0.0,0.0,Aston Villa
32,Traoré,traore,0.0,0.0,0.0,0.0,Aston Villa
34,Sanson,sanson,0.0,0.0,0.0,0.0,Aston Villa
37,Trézéguet,trezeguet,0.0,0.0,0.0,0.0,Aston Villa
46,Guilbert,guilbert,0.0,0.0,0.0,0.0,Aston Villa
47,Wesley,wesley,0.0,0.0,0.0,0.0,Aston Villa
48,Samatta,samatta,0.0,0.0,0.0,0.0,Aston Villa
49,Davis,davis,0.0,0.0,0.0,0.0,Aston Villa
50,Douglas Luiz,douglas luiz,0.0,0.0,0.0,0.0,Aston Villa
51,Ramsey,ramsey,0.0,0.5,0.0,0.0,Aston Villa
54,Steele,steele,0.0,0.0,0.0,0.0,Brighton
57,Pröpper,propper,0.0,0.0,0.0,0.0,Brighton
58,Burn,burn,0.0,0.0,0.0,0.0,Brighton
61,Webster,webster,0.0,0.0,0.0,0.0,Brighton
63,Maupay,maupay,0.0,0.0,0.0,0.0,Brighton
65,Ryan,ryan,0.0,0.0,0.0,0.0,Brighton
66,Jahanbakhsh,jahanbakhsh,0.0,0.0,0.0,0.0,Brighton
68,Bernardo,bernardo,0.0,0.0,0.0,0.0,Brighton
72,Connolly,connolly,0.0,0.0,0.0,0.0,Brighton
73,Alzate,alzate,0.0,0.0,0.0,0.0,Brighton
79,Fosu,fosu,0.0,0.0,0.0,0.0,Brentford
80,Raya,raya,0.0,0.0,0.0,0.0,Brentford
82,Dasilva,dasilva,0.0,0.0,0.0,0.0,Brentford
87,Goode,goode,0.0,0.0,0.0,0.0,Brentford
90,Sørensen,sørensen,0.0,0.0,0.0,0.0,Brentford
92,Balcombe,balcombe,0.0,0.0,0.0,0.0,Brentford
93,Zamburek,zamburek,0.0,0.0,0.0,0.0,Brentford
94,Gunnarsson,gunnarsson,0.0,0.0,0.0,0.0,Brentford
95,Dervişoğlu,dervisoglu,0.0,0.0,0.0,0.0,Brentford
96,Mbeumo,mbeumo,0.0,0.0,0.0,0.0,Brentford
97,Bidstrup,bidstrup,0.0,0.0,0.0,0.0,Brentford
99,Bardsley,bardsley,0.0,0.0,0.0,0.0,Burnley
100,Pieters,pieters,0.0,0.0,0.0,0.0,Burnley
101,Cork,cork,0.0,0.0,0.0,0.0,Burnley
102,Stephens,stephens,0.0,0.0,0.0,0.0,Burnley
103,Long,long,0.0,0.0,0.0,0.0,Burnley
104,Rodriguez,rodriguez,0.0,0.0,0.0,0.0,Burnley
105,Barnes,barnes,0.0,0.0,0.0,0.0,Burnley
114,Norris,norris,0.0,0.0,0.0,0.0,Burnley
116,Benson,benson,0.0,0.0,0.0,0.0,Burnley
117,Peacock-Farrell,peacock-farrell,0.0,0.0,0.0,0.0,Burnley
119,Azpilicueta,azpilicueta,0.0,0.0,0.0,0.0,Chelsea
120,Giroud,giroud,0.0,0.0,0.0,0.0,Chelsea
122,Alonso,alonso,0.0,0.0,0.0,0.0,Chelsea
125,Kovacic,kovacic,0.0,0.0,0.0,0.0,Chelsea
126,Batshuayi,batshuayi,0.0,0.0,0.0,0.0,Chelsea
129,Arrizabalaga,arrizabalaga,0.0,0.0,0.0,0.0,Chelsea
134,Werner,werner,0.0,0.0,0.0,0.0,Chelsea
136,Abraham,abraham,0.0,0.0,0.0,0.0,Chelsea
137,Pulisic,pulisic,0.0,0.0,0.0,0.0,Chelsea
138,Mount,mount,0.0,0.0,0.0,0.0,Chelsea
139,Ampadu,ampadu,0.0,0.0,0.0,0.0,Chelsea
145,Gilmour,gilmour,0.0,0.0,0.0,0.0,Norwich
147,Tomkins,tomkins,0.0,0.0,0.0,0.0,Crystal Palace
151,Kelly,kelly,0.0,0.0,0.0,0.0,Crystal Palace
152,Milivojevic,milivojevic,0.0,0.0,0.0,0.0,Crystal Palace
156,Butland,butland,0.0,0.0,0.0,0.0,Crystal Palace
157,Riedewald,riedewald,0.0,0.0,0.0,0.0,Crystal Palace
158,Jach,jach,0.0,0.0,0.0,0.0,Crystal Palace
159,Mateta,mateta,0.0,0.0,0.0,0.0,Crystal Palace
160,Eze,eze,0.0,0.0,0.0,0.0,Crystal Palace
161,Ferguson,ferguson,0.0,0.0,0.0,0.0,Crystal Palace
164,Sigurdsson,sigurdsson,0.0,0.0,0.0,0.0,Everton
166,James,james,0.0,0.0,0.0,0.0,Everton
167,Bernard,bernard,0.0,0.0,0.0,0.0,Everton
168,Digne,digne,0.0,0.0,0.0,0.0,Everton
172,André Gomes,andre gomes,0.0,0.0,0.0,0.0,Everton
173,Doucouré,doucoure,0.0,0.0,0.0,0.0,Everton
175,Mina,mina,0.0,0.0,0.0,0.0,Everton
176,Davies,davies,0.0,0.0,0.0,0.0,Everton
177,Calvert-Lewin,calvert-lewin,0.0,0.0,0.0,0.0,Everton
181,Virgínia,virginia,0.0,0.0,0.0,0.0,Everton
182,Hernández,hernandez,0.0,0.0,0.0,0.0,Leeds
183,Casilla,casilla,0.0,0.0,0.0,0.0,Leeds
185,Ayling,ayling,0.0,0.0,0.0,0.0,Leeds
186,Klich,klich,0.0,0.0,0.0,0.0,Leeds
189,Bamford,bamford,0.0,0.0,0.0,0.0,Leeds
192,Costa,costa,0.0,0.0,0.0,0.0,Leeds
194,Koch,koch,0.0,0.0,0.0,0.0,Leeds
195,Poveda,poveda,0.0,0.0,0.0,0.0,Leeds
202,Albrighton,albrighton,0.0,0.0,0.0,0.0,Leicester
203,Mendy,mendy,0.0,0.0,0.0,0.0,Leicester
204,Ward,ward,0.0,0.0,0.0,0.0,Leicester
206,Praet,praet,0.0,0.0,0.0,0.0,Leicester
207,Pereira,pereira,0.0,0.0,0.0,0.0,Leicester
211,Pérez,perez,0.0,0.0,0.0,0.0,Leicester
214,Choudhury,choudhury,0.0,0.0,0.0,0.0,Leicester
216,Ndidi,ndidi,0.0,0.0,0.0,0.0,Leicester
218,Justin,justin,0.0,0.0,0.0,0.0,Leicester
220,Fofana,fofana,0.0,0.0,0.0,0.0,Leicester
221,Milner,milner,0.0,0.0,0.0,0.0,Liverpool
223,Adrián,adrian,0.0,0.0,0.0,0.0,Liverpool
224,Matip,matip,0.0,0.0,0.0,0.0,Liverpool
225,Thiago,thiago,0.0,0.0,0.0,0.0,Liverpool
226,Shaqiri,shaqiri,0.0,0.0,0.0,0.0,Liverpool
232,Fabinho,fabinho,0.0,0.0,0.0,0.0,Liverpool
235,Origi,origi,0.0,0.0,0.0,0.0,Liverpool
236,Minamino,minamino,0.0,0.3,0.0,0.0,Liverpool
238,Gomez,gomez,0.0,0.0,0.0,0.0,Liverpool
241,Phillips,phillips,0.0,0.0,0.0,0.0,Liverpool
242,Kelleher,kelleher,0.0,0.0,0.0,0.0,Liverpool
245,Tsimikas,tsimikas,0.0,0.0,0.0,0.0,Liverpool
246,N.Williams,n.williams,0.0,0.0,0.0,0.0,Liverpool
247,R.Williams,r.williams,0.0,0.0,0.0,0.0,Liverpool
248,Davies,davies,0.0,0.0,0.0,0.0,Liverpool
250,Gündogan,gundogan,0.0,0.0,0.0,0.0,Man City
253,Mendy,mendy,0.0,0.0,0.0,0.0,Man City
258,Aké,ake,0.0,0.0,0.0,0.0,Man City
260,Steffen,steffen,0.0,0.0,0.0,0.0,Man City
264,Zinchenko,zinchenko,0.0,0.0,0.0,0.0,Man City
268,Torres,torres,0.0,0.0,0.0,0.0,Man City
272,Pogba,pogba,0.0,0.0,0.0,0.0,Man Utd
278,Martial,martial,0.0,0.0,0.0,0.0,Man Utd
279,Telles,telles,0.0,0.0,0.0,0.0,Man Utd
280,Henderson,henderson,0.0,0.0,0.0,0.0,Man Utd
282,van de Beek,van de beek,0.0,0.0,0.0,0.0,Man Utd
283,Tuanzebe,tuanzebe,0.0,0.0,0.0,0.0,Aston Villa
286,Bailly,bailly,0.0,0.0,0.0,0.0,Man Utd
289,Greenwood,greenwood,0.0,0.0,0.0,0.0,Man Utd
290,Williams,williams,0.0,0.0,0.0,0.0,Norwich
295,Dubravka,dubravka,0.0,0.0,0.0,0.0,Newcastle
297,Hendrick,hendrick,0.0,0.0,0.0,0.0,Newcastle
300,Gayle,gayle,0.0,0.0,0.0,0.0,Newcastle
301,Dummett,dummett,0.0,0.0,0.0,0.0,Newcastle
304,Murphy,murphy,0.0,0.0,0.0,0.0,Newcastle
