name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Dodgson,BUR,DEF,4.0,Available,0,0,0,0.0,0.1
Lennon,BUR,MID,5.0,Available,103,3,0,0.8,0.0
Cornet,BUR,MID,6.0,Doubtful,78,6,0,3.0,0.0
Roberts,BUR,DEF,4.5,Injured,0,0,0,0.0,0.0
Azpilicueta,CHE,DEF,6.0,Available,542,36,2,5.1,5.3
Giroud,CHE,FWD,6.5,NotAvail,0,0,0,0.0,0.0
Thiago Silva,CHE,DEF,5.4,Available,376,25,3,5.0,4.1
Alonso,CHE,DEF,6.0,Available,535,39,4,6.5,26.5
Jorginho,CHE,MID,5.9,Available,493,15,0,2.1,3.8
Barkley,CHE,MID,5.3,Available,7,1,0,1.0,0.1
Kovacic,CHE,MID,5.2,Available,548,33,2,4.7,8.4
Batshuayi,CHE,FWD,5.5,NotAvail,0,0,0,0.0,0.1
Rüdiger,CHE,DEF,5.7,Available,630,36,2,5.1,20.6
Arrizabalaga,CHE,GKP,4.9,Available,90,6,0,6.0,0.3
Kanté,CHE,MID,4.9,Injured,167,9,0,2.2,2.7
Ziyech,CHE,MID,7.4,Available,98,4,0,2.0,0.4
Loftus-Cheek,CHE,MID,5.4,Available,96,7,1,3.5,0.1
Christensen,CHE,DEF,5.0,Available,450,22,1,4.4,4.0
Werner,CHE,FWD,8.6,Available,299,16,1,2.7,1.5
Chilwell,CHE,DEF,5.6,Available,90,8,0,8.0,3.6
Abraham,CHE,FWD,6.5,NotAvail,0,0,0,0.0,0.2
Pulisic,CHE,MID,7.9,Injured,81,8,0,8.0,0.5
Mount,CHE,MID,7.4,Available,331,16,0,3.2,8.9
Ampadu,CHE,DEF,4.5,NotAvail,0,0,0,0.0,0.1
Hudson-Odoi,CHE,MID,5.3,Available,145,5,0,2.5,0.1
Havertz,CHE,MID,8.2,Available,304,18,1,3.0,4.5
James,CHE,DEF,5.6,Injured,188,21,3,5.2,5.3
Mendy,CHE,GKP,6.0,Available,540,30,2,5.0,13.0
Sarr,CHE,DEF,4.9,Available,0,0,0,0.0,0.1
Chalobah,CHE,DEF,4.8,Available,273,32,5,8.0,1.8
Lukaku,CHE,FWD,11.7,Available,540,29,5,4.8,37.2
Emerson,CHE,DEF,4.5,NotAvail,4,1,0,1.0,0.0
Saúl,CHE,MID,5.3,Available,45,1,0,1.0,0.2
Bettinelli,CHE,GKP,4.0,Available,0,0,0,0.0,0.0
Gallagher,CRY,MID,5.7,Available,450,32,3,6.4,8.3
Guaita,CRY,GKP,4.5,Available,540,24,2,4.0,6.7
Tomkins,CRY,DEF,4.4,Available,0,0,0,0.0,0.1
McArthur,CRY,MID,4.6,Available,511,17,1,2.8,3.9
Benteke,CRY,FWD,6.3,Available,378,12,0,2.0,0.8
Kouyaté,CRY,DEF,4.5,Available,435,17,1,2.8,0.8
Kelly,CRY,DEF,3.9,Available,0,0,0,0.0,0.9
Milivojevic,CRY,MID,5.4,Available,94,4,0,2.0,0.0
Ayew,CRY,FWD,5.9,Available,462,11,0,1.8,0.5
Zaha,CRY,MID,6.9,Available,540,29,3,4.8,6.9
Schlupp,CRY,MID,5.4,Available,129,6,0,1.5,0.0
Butland,CRY,GKP,4.4,Available,0,0,0,0.0,0.4
Riedewald,CRY,MID,4.9,Available,101,3,0,1.5,0.0
Jach,CRY,DEF,4.4,Available,0,0,0,0.0,0.0
Mateta,CRY,FWD,5.3,Available,56,1,0,1.0,0.1
Eze,CRY,MID,5.9,Injured,0,0,0,0.0,0.0
Ferguson,CRY,DEF,4.5,Injured,0,0,0,0.0,0.0
