,Number,Players,Clean name,Influence,Creativity,Threat,ICT index,Team,Goals scored,Assists,Goals and Assists,Unnamed: 0,Player,Team,Appearances,Mins,Goals,Assists,xGoals,xAssists,xGoals per 90,xAssists per 90,Total points,Costs,PPG,Positions,Points per mil
46,143,Mendy,mendy,47.2,0.0,0.0,4.7,Chelsea,0,0,0,271,Edouard Mendy,Chelsea ,3,270,0,0,0.00,0.00,0.0,0.0,39.0,6.1,5.6,GKP,6.39
47,239,Keita,keita,14.8,6.5,26.0,4.7,Liverpool,1,0,1,50,Naby Keita,Liverpool ,2,117,1,0,0.17,0.00,0.13,0.0,16.0,5.0,3.2,MID,3.2
48,85,Ghoddos,ghoddos,8.2,1.4,36.0,4.6,Brentford,0,0,0,277,Saman Ghoddos,Brentford ,1,15,0,0,0.39,0.00,2.35,0.0,4.0,5.3,1.3,MID,0.75
49,174,Iwobi,iwobi,0.0,1.6,48.0,4.6,Everton,0,1,1,90,Alex Iwobi,Everton ,3,253,0,0,0.32,0.17,0.11,0.06,15.0,5.8,2.1,MID,2.59
50,591,Rondón,rondon,6.2,4.2,35.0,4.5,Everton,0,0,0,145,Salomón Rondón,Everton ,4,335,0,0,0.65,0.21,0.17,0.06,9.0,6.0,1.8,FWD,1.5
51,212,Maddison,maddison,4.4,10.6,30.0,4.5,Leicester,0,0,0,269,James Maddison,Leicester ,4,150,0,0,0.17,0.02,0.1,0.01,14.0,6.7,1.8,MID,2.09
52,153,Ayew,ayew,25.2,12.8,7.0,4.5,Crystal Palace,0,1,1,119,Jordan Ayew,Crystal Palace ,4,307,0,1,0.75,0.23,0.22,0.07,17.0,5.9,2.1,FWD,2.88
53,426,Moutinho,moutinho,15.8,29.3,0.0,4.5,Wolves,0,0,0,210,João Moutinho,Wolverhampton Wanderers ,4,347,0,0,0.03,0.05,0.01,0.01,19.0,5.0,2.4,MID,3.8
54,173,Doucouré,doucoure,13.0,22.7,9.0,4.5,Everton,2,4,6,34,Abdoulaye Doucouré,Everton ,4,360,1,1,0.72,0.82,0.18,0.2,45.0,5.7,5.6,MID,7.89
55,435,Traoré,traore,11.0,3.5,29.0,4.4,Wolves,0,1,1,156,Adama Traoré,Wolverhampton Wanderers ,4,199,0,0,0.42,0.06,0.19,0.02,18.0,6.0,2.2,MID,3.0
