,Player,Team,Appearances,Mins,Goals,Assists,xGoals,xAssists,xGoals per 90,xAssists per 90
298,Matthew Cash,Aston Villa ,2,180,0,0,0.03+0.03,0.66+0.66,0.01,0.33
299,Trincão,Wolverhampton Wanderers ,1,81,0,0,0.61+0.61,0.05+0.05,0.68,0.05
300,Rúben Dias,Manchester City ,2,180,0,0,0.10+0.10,0.00,0.05,0.00
301,Vladimir Coufal,West Ham ,1,1,0,0,0.00,0.00,0.00,0.00
302,Hakim Ziyech,Chelsea ,2,86,0,0,0.87+0.87,0.09+0.09,0.91,0.10
303,Robert Sánchez,Brighton ,2,180,0,0,0.00,0.00,0.00,0.00
304,Jakub Moder,Brighton ,2,158,0,0,0.09+0.09,0.11+0.11,0.05,0.06
305,Joe Gelhardt,Leeds ,1,26,0,0,0.43+0.43,0.03+0.03,1.47,0.10
306,Crysencio Summerville,Leeds ,1,35,0,0,0.04+0.04,0.00,0.09,0.00
307,Cody Drameh,Leeds ,1,18,0,0,0.00,0.00,0.00,0.00
308,David Raya,Brentford ,1,90,0,0,0.00,0.00,0.00,0.00
309,Kristoffer Ajer,Brentford ,1,42,0,0,0.07+0.07,0.00,0.14,0.00
310,Ethan Pinnock,Brentford ,2,138,0,0,0.00,0.08+0.08,0.00,0.05
311,Rico Henry,Brentford ,2,180,0,0,0.03+0.03,0.00,0.01,0.00
312,Vitaly Janelt,Brentford ,1,20,0,0,0.02+0.02,0.00,0.10,0.00
313,Frank Onyeka,Brentford ,2,138,0,0,0.06+0.06,0.05+0.05,0.04,0.03
314,Marcus Forss,Brentford ,2,121,0,0,0.08+0.08,0.00,0.06,0.00
315,Mads Roerslev,Brentford ,1,11,0,0,0.00,0.00,0.00,0.00
316,Albert Sambi Lokonga,Arsenal ,2,169,0,0,0.15+0.15,0.12+0.12,0.08,0.06
317,Nuno Tavares,Arsenal ,2,180,0,0,0.16+0.16,0.55+0.55,0.08,0.28
318,Nathan Collins,Burnley ,1,90,0,0,0.00,0.02+0.02,0.00,0.02
319,Patson Daka,Leicester ,2,59,0,1,0.18+0.18,0.54-0.46,0.28,0.82
320,José Sá,Wolverhampton Wanderers ,2,180,0,0,0.00,0.06+0.06,0.00,0.03
321,Dimitris Giannoulis,Norwich ,1,47,0,0,0.00,0.00,0.00,0.00
322,Christos Tzolis,Norwich ,1,20,0,0,0.00,0.00,0.00,0.00
323,Michael Olise,Crystal Palace ,2,70,0,1,0.00,1.39+0.39,0.00,1.78
324,Ozan Tufan,Watford ,1,68,0,0,0.00,0.00,0.00,0.00
325,Przemyslaw Placheta,Norwich ,1,1,0,0,0.00,0.00,0.00,0.00
