,Players,Costs,Total points,Positions,PPG,Team,Points per mil,Clean name
81,Robertson,7.0,69,DEF,4.9,LIV,9.86,robertson
22,Canós,5.5,54,MID,3.4,BRE,9.82,canos
26,Mbeumo,5.4,53,MID,3.3,BRE,9.81,mbeumo
51,Broja,5.2,51,FWD,3.6,SOU,9.81,broja
145,Cresswell,5.3,52,DEF,4.0,WHU,9.81,cresswell
36,Taylor,4.4,43,DEF,3.1,BUR,9.77,taylor
155,Marçal,4.2,41,DEF,4.1,WOL,9.76,marcal
162,Ward-Prowse,6.3,61,MID,3.8,SOU,9.68,ward-prowse
58,King,5.8,56,FWD,4.0,WAT,9.66,king
44,Chilwell,5.6,54,DEF,9.0,CHE,9.64,chilwell
51,Kovacic,5.0,48,MID,4.4,CHE,9.60,kovacic
159,Ait Nouri,4.3,41,DEF,4.6,WOL,9.53,ait nouri
10,Maupay,6.4,61,FWD,4.1,BHA,9.53,maupay
39,Azpilicueta,5.7,54,DEF,4.5,CHE,9.47,azpilicueta
118,Gündogan,7.3,69,MID,5.3,MCI,9.45,gundogan
54,Andersen,4.5,42,DEF,3.0,CRY,9.33,andersen
87,Walker,5.5,51,DEF,4.2,MCI,9.27,walker
124,Rodrigo,5.5,51,MID,3.2,MCI,9.27,rodrigo
182,Sarr,5.8,53,MID,4.4,WAT,9.14,sarr
168,Son,10.5,96,MID,6.4,TOT,9.14,son
17,Ramsey,4.6,42,MID,2.6,AVL,9.13,ramsey
72,Cooper,4.5,41,DEF,2.7,LEE,9.11,cooper
131,Fred,5.0,45,MID,3.2,MUN,9.00,fred
63,Zaha,6.8,61,MID,3.6,CRY,8.97,zaha
15,Schmeichel,4.8,43,GKP,2.5,LEI,8.96,schmeichel
71,Allan,4.4,39,MID,2.6,EVE,8.86,allan
43,Christensen,4.6,40,DEF,3.3,CHE,8.70,christensen
8,Pope,5.4,47,GKP,3.1,BUR,8.70,pope
16,Douglas Luiz,4.5,39,MID,2.8,AVL,8.67,douglas luiz
110,Hanley,4.4,38,DEF,2.5,NOR,8.64,hanley
93,Dallas,5.0,43,MID,2.4,LEE,8.60,dallas
195,Moutinho,4.9,42,MID,2.3,WOL,8.57,moutinho
63,Hwang,5.5,47,FWD,3.4,WOL,8.55,hwang
8,Toney,6.6,56,FWD,3.7,BRE,8.48,toney
38,Moder,4.5,38,MID,2.4,BHA,8.44,moder
52,Ward,4.5,38,DEF,2.2,CRY,8.44,ward
21,Nørgaard,5.0,42,MID,2.5,BRE,8.40,nørgaard
29,Veltman,4.2,35,DEF,2.7,BHA,8.33,veltman
169,Lucas Moura,6.5,54,MID,3.6,TOT,8.31,lucas moura
74,Llorente,4.5,37,DEF,2.8,LEE,8.22,llorente
144,Ogbonna,4.9,40,DEF,3.6,WHU,8.16,ogbonna
85,Tsimikas,3.7,30,DEF,4.3,LIV,8.11,tsimikas
53,A.Armstrong,5.8,47,FWD,3.1,SOU,8.10,a.armstrong
120,Salisu,4.5,36,DEF,2.1,SOU,8.00,salisu
4,Watkins,7.9,63,FWD,3.9,AVL,7.97,watkins
160,Redmond,5.9,47,MID,3.1,SOU,7.97,redmond
43,Wilson,7.4,59,FWD,3.9,NEW,7.97,wilson
4,Raya,4.3,34,GKP,3.8,BRE,7.91,raya
120,Mahrez,8.6,68,MID,4.5,MCI,7.91,mahrez
3,Partey,5.0,39,MID,2.6,ARS,7.80,partey
20,Benteke,6.3,49,FWD,2.9,CRY,7.78,benteke
32,Tarkowski,4.9,38,DEF,2.7,BUR,7.76,tarkowski
198,Neves,5.3,41,MID,2.4,WOL,7.74,neves
111,Aarons,4.3,33,DEF,1.8,NOR,7.67,aarons
61,McArthur,4.3,33,MID,3.0,CRY,7.67,mcarthur
123,Foden,8.1,62,MID,5.2,MCI,7.65,foden
86,Barnes,6.5,49,MID,3.5,LEI,7.54,barnes
108,Mané,11.8,89,MID,4.9,LIV,7.54,mane
118,Walker-Peters,4.8,36,DEF,2.6,SOU,7.50,walker-peters
39,Jesus,8.7,65,FWD,4.3,MCI,7.47,jesus
61,Jiménez,7.5,56,FWD,3.3,WOL,7.47,jimenez
23,Edouard,6.3,47,FWD,3.1,CRY,7.46,edouard
48,Cornet,5.9,44,MID,4.9,BUR,7.46,cornet
30,Vardy,10.4,77,FWD,5.1,LEI,7.40,vardy
