,Name,Club,Pos,Status,%Owned,Price,Chgs,Unlocks,Target
154,Benteke,Crystal Palace,F,A,0.7,£5.5m,0,---,101879
155,Ward,Crystal Palace,D,A,0.2,£4.5m,0,---,101879
156,Clyne,Crystal Palace,D,A,0.1,£4.5m,0,---,101879
157,Milivojevic,Crystal Palace,M,A,0.6,£4.5m,0,---,101879
158,Ayew,Crystal Palace,M,A,0.2,£5.5m,0,---,101879
159,Zaha,Crystal Palace,M,A,7,£7.0m,0,---,101879
160,Schlupp,Crystal Palace,M,A,0.2,£5.0m,0,---,101879
161,Butland,Crystal Palace,G,A,0.3,£4.5m,0,---,101879
162,Hughes,Crystal Palace,M,A,0,£5.0m,0,---,101879
163,Riedewald,Crystal Palace,M,A,0.1,£4.5m,0,---,101879
164,Andersen,Crystal Palace,D,A,2.5,£4.5m,0,---,101879
165,Edouard,Crystal Palace,F,A,3.9,£5.5m,0,---,101879
166,Guéhi,Crystal Palace,D,A,2.8,£4.5m,0,---,101879
167,Mateta,Crystal Palace,F,A,1.2,£5.5m,0,---,101879
168,Eze,Crystal Palace,M,A,0.9,£5.5m,0,---,101879
169,Mitchell,Crystal Palace,D,A,1.3,£4.5m,0,---,101879
170,Olise,Crystal Palace,M,A,1.1,£5.5m,0,---,101879
171,Rak-Sakyi,Crystal Palace,M,A,0.1,£4.5m,0,---,101879
172,Ebiowei,Crystal Palace,M,A,0.2,£4.5m,0,---,101879
173,Ferguson,Crystal Palace,D,A,0.4,£4.0m,0,---,101879
174,Johnstone,Crystal Palace,G,A,0.5,£4.5m,0,---,101879
175,Matthews,Crystal Palace,G,A,0.3,£4.0m,0,---,101879
176,Plange,Crystal Palace,F,A,0.8,£4.5m,0,---,101879
177,Begović,Everton,G,A,2,£4.0m,0,---,101879
178,Rondón,Everton,F,S,0.2,£5.0m,0,---,101879
179,Coleman,Everton,D,I,0.3,£4.5m,0,---,101879
180,Townsend,Everton,M,I,0,£5.5m,0,---,101879
181,Keane,Everton,D,A,0.7,£4.5m,0,---,101879
182,Dele,Everton,M,A,0.4,£5.5m,0,---,101879
183,Pickford,Everton,G,A,6.1,£4.5m,0,---,101879
184,Allan,Everton,M,A,0.1,£5.0m,0,---,101879
185,André Gomes,Everton,M,A,0.5,£4.5m,0,---,101879
186,A.Doucouré,Everton,M,A,0.3,£5.5m,0,---,101879
187,Iwobi,Everton,M,A,0.1,£5.5m,0,---,101879
188,Gbamin,Everton,M,A,0,£4.5m,0,---,101879
189,Mina,Everton,D,A,0.2,£4.5m,0,---,101879
190,Gray,Everton,M,A,1.5,£5.5m,0,---,101879
191,Davies,Everton,M,A,0.1,£5.0m,0,---,101879
192,Calvert-Lewin,Everton,F,A,2,£8.0m,0,---,101879
193,Holgate,Everton,D,A,0.2,£4.5m,0,---,101879
194,Godfrey,Everton,D,A,0.2,£4.5m,0,---,101879
195,Mykolenko,Everton,D,A,0.4,£4.5m,0,---,101879
196,Gordon,Everton,M,A,3.4,£5.5m,0,---,101879
197,Branthwaite,Everton,D,A,0.6,£4.0m,0,---,101879
198,Patterson,Everton,D,A,1.3,£4.0m,0,---,101879
199,Nkounkou,Everton,D,A,0.4,£4.0m,0,---,101879
200,Tarkowski,Everton,D,A,1.2,£4.5m,0,---,101879
201,Cairney,Fulham,M,A,0.1,£5.0m,0,---,101879
202,Ream,Fulham,D,A,0.1,£4.5m,0,---,101879
203,Knockaert,Fulham,M,A,0.1,£5.0m,0,---,101879
204,Chalobah,Fulham,M,A,0.7,£4.5m,0,---,101879
205,Kebano,Fulham,M,A,0.1,£5.5m,0,---,101879
206,De Cordova-Reid,Fulham,M,A,0.1,£5.5m,0,---,101879
207,Bryan,Fulham,D,A,0.2,£4.5m,0,---,101879
208,Gazzaniga,Fulham,G,A,10.2,£4.0m,0,---,101879
209,Kongolo,Fulham,D,A,0.8,£4.0m,0,---,101879
210,Tosin,Fulham,D,A,0.1,£4.5m,0,---,101879
211,Mitrović,Fulham,F,A,9.7,£6.5m,0,---,101879
212,Reed,Fulham,M,A,0.5,£4.5m,0,---,101879
213,Wilson,Fulham,M,A,1.1,£6.0m,0,---,101879
214,Rodák,Fulham,G,A,0.3,£4.5m,0,---,101879
215,Cavaleiro,Fulham,M,A,0.2,£5.0m,0,---,101879
216,Tete,Fulham,D,A,0.1,£4.5m,0,---,101879
217,Onomah,Fulham,M,A,0.1,£4.5m,0,---,101879
218,Robinson,Fulham,D,A,0.2,£4.5m,0,---,101879
219,Muniz,Fulham,F,A,0.1,£5.5m,0,---,101879
