,Player,Nation,Pos,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Med Cmp,Med Att,Med Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
201,Vicente Guaita,es ESP,GK,Crystal Palace,34,1987,29.5,763,972,78.5,20316,10376,197,198,99.5,325,328,99.1,229,434,52.8,0,0.0,0.0,0,2,0,0,0
202,Marc Guéhi,eng ENG,DF,Crystal Palace,21,2000,35.8,1988,2273,87.5,43238,14169,522,561,93.0,1156,1239,93.3,297,448,66.3,1,0.5,+0.5,5,121,2,0,99
203,Bruno Guimarães,br BRA,MF,Newcastle Utd,23,1997,11.5,441,511,86.3,8515,1868,189,206,91.7,168,187,89.8,73,89,82.0,1,1.8,-0.8,13,41,14,4,34
204,İlkay Gündoğan,de GER,MF,Manchester City,30,1990,20.6,1160,1325,87.5,20357,4001,586,622,94.2,410,454,90.3,140,196,71.4,4,4.2,-0.2,37,78,27,2,84
205,Angus Gunn,eng ENG,GK,Norwich City,25,1996,9.0,197,298,66.1,6056,3178,47,48,97.9,66,67,98.5,83,181,45.9,0,0.0,0.0,0,1,0,0,0
206,Grant Hanley,sct SCO,DF,Norwich City,29,1991,32.2,1053,1243,84.7,22939,5649,279,317,88.0,554,601,92.2,203,297,68.4,0,0.3,-0.3,4,27,2,0,29
207,Jack Harrison,eng ENG,"FW,MF",Leeds United,24,1996,29.3,665,1019,65.3,10573,3817,378,473,79.9,211,316,66.8,55,143,38.5,1,2.6,-1.6,41,49,44,11,106
208,Kortney Hause,eng ENG,DF,Aston Villa,26,1995,4.4,162,206,78.6,3509,992,53,58,91.4,75,90,83.3,33,54,61.1,0,0.0,0.0,0,8,0,0,6
209,Kai Havertz,de GER,"FW,MF",Chelsea,22,1999,20.1,546,669,81.6,7476,1315,344,390,88.2,139,179,77.7,29,34,85.3,3,2.0,+1.0,20,27,18,1,46
210,Isaac Hayden,eng ENG,"MF,DF",Newcastle Utd,26,1995,11.1,255,318,80.2,4657,912,111,130,85.4,114,134,85.1,28,41,68.3,0,0.1,-0.1,2,19,1,1,9
211,Hwang Hee-chan,kr KOR,"FW,MF",Wolves,25,1996,20.2,509,626,81.3,8382,1465,274,323,84.8,178,208,85.6,46,63,73.0,1,1.7,-0.7,16,27,14,0,41
212,Jordan Henderson,eng ENG,MF,Liverpool,31,1990,28.9,1846,2202,83.8,35046,8229,760,839,90.6,811,930,87.2,243,348,69.8,5,3.8,+1.2,38,187,53,13,176
213,Jeff Hendrick,ie IRL,MF,Newcastle Utd,29,1992,0.8,24,27,88.9,452,30,10,11,90.9,11,11,100.0,3,4,75.0,0,0.0,0.0,1,2,0,0,1
214,Wayne Hennessey,wls WAL,GK,Burnley,34,1987,2.0,40,80,50.0,2119,1850,1,1,100.0,8,8,100.0,31,71,43.7,0,0.1,-0.1,3,5,0,0,0
215,Rico Henry,eng ENG,DF,Brentford,24,1997,30.8,868,1202,72.2,14321,4831,432,511,84.5,340,443,76.7,77,166,46.4,0,1.7,-1.7,18,50,25,13,78
216,Son Heung-min,kr KOR,"FW,MF",Tottenham,29,1992,33.4,933,1223,76.3,14512,3532,530,588,90.1,298,360,82.8,77,205,37.6,7,8.1,-1.1,71,35,45,4,76
217,Ki-Jana Hoever,nl NED,DF,Wolves,19,2002,3.4,113,159,71.1,1953,647,51,62,82.3,52,72,72.2,8,14,57.1,0,0.0,0.0,1,4,2,1,8
218,Rob Holding,eng ENG,DF,Arsenal,25,1995,9.4,418,474,88.2,8635,2113,118,129,91.5,239,253,94.5,57,84,67.9,0,0.0,0.0,0,17,0,0,14
219,Mason Holgate,eng ENG,DF,Everton,24,1996,23.7,564,803,70.2,13333,4394,147,181,81.2,271,344,78.8,137,260,52.7,1,0.1,+0.9,2,40,2,0,38
220,Callum Hudson-Odoi,eng ENG,"FW,MF",Chelsea,20,2000,10.7,313,393,79.6,4959,1083,173,201,86.1,108,132,81.8,22,41,53.7,2,2.3,-0.3,24,9,20,5,31
221,Will Hughes,eng ENG,MF,Crystal Palace,26,1995,11.7,428,523,81.8,7907,1751,184,210,87.6,186,205,90.7,50,87,57.5,1,0.7,+0.3,8,31,7,3,24
222,Pierre Højbjerg,dk DEN,MF,Tottenham,25,1995,35.5,2222,2485,89.4,42901,11016,885,956,92.6,1010,1095,92.2,296,384,77.1,2,2.5,-0.5,30,227,35,4,203
223,Adam Idah,ie IRL,"FW,MF",Norwich City,20,2001,6.9,96,142,67.6,1650,322,44,66,66.7,40,50,80.0,8,12,66.7,1,0.6,+0.4,4,7,4,2,7
224,Kelechi Iheanacho,ng NGA,FW,Leicester City,24,1996,14.0,271,352,77.0,3929,819,153,183,83.6,89,107,83.2,15,31,48.4,5,2.7,+2.3,17,16,14,2,32
