,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Dribbles Succ,Dribbles Att,Dribbles Succ%,Dribbles #Pl,Dribbles Megs,Carries,Carries TotDist,Carries PrgDist,Carries Prog,Carries 1/3,Carries	CPA,Carries Mis,Carries Dis,Receiving	Targ,Receiving Rec,Receiving Rec%,Receiving Prog
380,Ayoze Pérez,ESP,"MF,FW",Leicester City,28,1993,4.9,244,6,45,128,89,21,241,8,16,50.0,9,1,166,719,430,28,13,4,12,16,231,169,73.2,36
381,Sonny Perkins,ENG,FW,West Ham,17,2004,0.0,1,0,0,1,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,3,1,33.3,0
382,Romain Perraud,FRA,DF,Southampton,23,1997,18.0,955,58,263,386,354,27,807,9,22,40.9,12,0,558,2945,1550,63,21,4,17,11,588,510,86.7,44
383,Kalvin Phillips,ENG,MF,Leeds United,25,1995,17.7,1172,73,394,665,182,8,1129,8,13,61.5,10,0,705,3178,1191,27,12,2,10,18,744,710,95.4,17
384,Jaden Philogene Bidace,ENG,FW,Aston Villa,19,2002,0.1,3,0,1,0,2,0,3,0,0,,0,0,1,0,0,0,0,0,0,1,4,2,50.0,1
385,Jordan Pickford,ENG,GK,Everton,27,1994,35.0,1243,1045,1220,29,0,0,849,1,1,100.0,1,0,548,4042,2240,0,0,0,0,0,480,478,99.6,0
386,Erik Pieters,NED,DF,Burnley,32,1988,8.1,457,56,166,214,100,3,378,3,7,42.9,3,0,196,967,574,20,9,0,7,3,195,181,92.8,4
387,Ethan Pinnock,JAM,DF,Brentford,28,1993,29.9,1925,307,1046,725,224,55,1694,5,8,62.5,6,0,800,4048,2209,39,8,0,13,7,1007,960,95.3,13
388,Daniel Podence,POR,"FW,MF",Wolves,25,1995,16.5,839,2,106,390,426,57,803,33,67,49.3,34,4,656,3736,2388,118,49,24,34,33,875,654,74.7,97
389,Paul Pogba,FRA,"MF,FW",Manchester Utd,28,1993,15.0,1086,28,182,651,326,51,1075,40,52,76.9,41,1,811,3509,2109,97,24,8,25,34,968,851,87.9,60
390,Nick Pope,ENG,GK,Burnley,29,1992,36.0,1212,999,1185,33,0,0,792,1,1,100.0,1,0,461,3150,1881,0,0,0,0,0,328,328,100.0,0
391,Isaac Price,NIR,MF,Everton,17,2003,0.2,5,0,1,2,2,2,5,0,0,,0,0,1,4,0,0,0,0,0,0,3,2,66.7,1
392,Teemu Pukki,FIN,FW,Norwich City,31,1990,36.1,845,9,48,400,445,175,755,30,65,46.2,32,7,523,2541,1461,81,25,30,61,50,1280,531,41.5,224
393,Christian Pulisic,USA,"MF,FW",Chelsea,22,1998,14.3,681,9,82,296,362,79,665,20,47,42.6,24,1,511,2861,1561,90,25,13,41,31,704,511,72.6,121
394,Przemysław Płacheta,POL,"FW,MF",Norwich City,23,1998,5.6,223,8,53,81,100,16,205,6,10,60.0,6,0,154,998,567,25,5,6,11,15,210,138,65.7,23
395,Jesuran Rak Sakyi,ENG,"FW,MF",Crystal Palace,18,2002,0.9,41,1,7,21,15,2,39,0,2,0.0,0,0,28,176,95,2,1,0,2,1,35,28,80.0,5
396,Aaron Ramsdale,ENG,GK,Arsenal,23,1998,34.0,1249,995,1238,14,0,0,977,2,2,100.0,2,0,685,3537,1851,0,0,0,0,0,611,606,99.2,0
397,Jacob Ramsey,ENG,MF,Aston Villa,20,2001,27.4,1388,52,287,751,488,60,1372,24,40,60.0,27,2,1013,6578,3665,165,60,16,52,45,1143,992,86.8,80
398,Marcus Rashford,ENG,"FW,MF",Manchester Utd,23,1997,13.7,589,8,62,245,323,77,581,20,52,38.5,23,3,407,1927,1182,58,20,14,36,34,712,474,66.6,120
399,Milot Rashica,KVX,"FW,MF",Norwich City,25,1996,24.8,949,42,206,380,464,71,869,24,80,30.0,28,9,640,4671,3023,120,47,23,51,54,882,581,65.9,111
400,David Raya,ESP,GK,Brentford,25,1995,24.0,1112,895,1086,29,0,0,833,0,0,,0,0,540,2780,1355,1,0,0,2,0,551,550,99.8,0
401,Nathan Redmond,ENG,"MF,FW",Southampton,27,1994,20.4,916,26,137,399,449,51,877,22,39,56.4,25,3,626,3883,2168,117,48,15,24,19,839,624,74.4,95
402,Sergio Reguilón,ESP,DF,Tottenham,24,1996,21.3,1252,75,351,499,463,56,1091,18,48,37.5,19,5,759,3480,1946,98,33,11,26,20,866,752,86.8,79
403,Declan Rice,ENG,MF,West Ham,22,1999,35.3,2508,151,719,1592,451,52,2478,37,61,60.7,41,2,1799,12848,6605,251,92,13,21,29,1839,1768,96.1,35
404,Taylor Richards,ENG,"MF,FW",Brighton,20,2000,0.3,32,0,3,15,16,0,32,0,1,0.0,1,0,26,123,59,3,2,0,0,1,29,26,89.7,4
405,Richarlison,BRA,"FW,MF",Everton,24,1997,28.0,1053,40,145,396,575,154,1032,33,71,46.5,37,3,679,3245,1782,96,21,28,82,75,1282,665,51.9,142
406,Jaïro Riedewald,NED,MF,Crystal Palace,24,1996,1.3,66,2,19,39,15,1,61,0,2,0.0,0,0,43,187,73,4,2,0,1,1,46,41,89.1,3
407,Matt Ritchie,SCO,DF,Newcastle Utd,31,1989,14.9,827,45,262,341,257,9,647,3,5,60.0,3,1,406,1584,721,30,9,0,7,4,439,403,91.8,13
408,Connor Roberts,WAL,DF,Burnley,25,1995,18.8,1035,80,298,505,286,18,843,8,14,57.1,8,3,519,2624,1497,68,28,5,8,4,555,502,90.5,22
409,Tyler Roberts,WAL,"MF,FW",Leeds United,22,1999,11.0,435,12,71,213,191,49,420,9,22,40.9,9,0,310,1778,815,43,18,8,21,13,450,300,66.7,79
410,Andrew Robertson,SCO,DF,Liverpool,27,1994,28.2,2536,83,548,1237,905,93,2188,16,32,50.0,19,2,1613,7311,4585,205,70,10,17,19,1871,1719,91.9,115
411,Joe Rodon,WAL,DF,Tottenham,23,1997,1.0,44,10,19,26,1,0,44,0,0,,0,0,23,67,13,0,0,0,0,0,25,23,92.0,0
412,Rodri,ESP,MF,Manchester City,25,1996,32.0,3096,95,618,1965,698,64,3061,9,18,50.0,10,1,2181,9213,4710,205,44,8,13,28,2457,2382,96.9,61
413,Rodrigo,ESP,"MF,FW",Leeds United,30,1991,25.2,1177,33,177,633,450,79,1123,15,40,37.5,16,0,782,3884,1744,96,37,11,60,33,1206,867,71.9,191
414,Jay Rodriguez,ENG,FW,Burnley,32,1989,15.4,491,14,73,223,220,55,487,11,18,61.1,13,2,236,1308,634,33,13,3,25,13,685,336,49.1,66
415,Mads Roerslev,DEN,DF,Brentford,22,1999,13.8,498,50,197,178,140,12,475,3,15,20.0,6,0,260,1050,410,21,5,1,9,12,336,261,77.7,25
416,Cristian Romero,ARG,DF,Tottenham,23,1998,20.5,1533,259,837,715,88,18,1499,9,14,64.3,10,0,1024,5473,3097,79,21,2,11,8,1049,1019,97.1,7
417,Oriol Romeu,ESP,MF,Southampton,29,1991,32.1,1996,87,476,1229,425,54,1967,24,36,66.7,24,0,1267,6140,3203,144,49,5,27,20,1330,1263,95.0,40
418,Cristiano Ronaldo,POR,FW,Manchester Utd,36,1985,27.3,1184,32,99,549,591,182,1144,19,36,52.8,21,0,765,3435,2054,141,34,35,44,39,1513,965,63.8,218
419,Salomón Rondón,VEN,FW,Everton,31,1989,8.8,293,13,28,125,146,53,287,4,8,50.0,4,0,137,502,196,10,1,2,24,10,429,206,48.0,49
420,Danny Rose,ENG,DF,Watford,31,1990,7.7,409,34,138,180,112,4,305,9,15,60.0,9,2,175,833,508,25,8,0,4,6,192,173,90.1,6
421,Jon Rowe,ENG,"FW,MF",Norwich City,18,2003,2.5,116,2,22,54,52,11,113,5,11,45.5,6,0,89,487,272,13,5,1,2,10,119,76,63.9,13
422,John Ruddy,ENG,GK,Wolves,34,1986,1.5,36,35,36,0,0,0,21,0,0,,0,0,8,39,18,0,0,0,0,0,9,9,100.0,0
423,Antonio Rüdiger,GER,DF,Chelsea,28,1993,33.7,2759,226,1090,1564,313,49,2705,6,10,60.0,7,1,2007,9572,5631,187,63,3,9,18,2197,2143,97.5,17
424,Lukas Rupp,GER,MF,Norwich City,30,1991,8.5,495,25,122,267,143,17,492,13,18,72.2,13,1,367,1702,853,46,16,0,15,23,389,348,89.5,35
425,José Sá,POR,GK,Wolves,28,1993,36.5,1201,1112,1192,9,0,0,865,2,2,100.0,2,0,540,3186,1743,0,0,0,0,0,399,399,100.0,0
