,Players,Costs,Total points,Positions,PPG,Team,Points per mil,Clean name
282,Fred,4.9,68,MID,3.4,MUN,13.88,fred
156,Pickford,4.9,68,GKP,3.1,EVE,13.88,pickford
119,Mount,7.5,104,MID,5.0,CHE,13.87,mount
454,Ait Nouri,4.4,61,DEF,4.4,WOL,13.86,ait nouri
422,Antonio,7.7,106,FWD,4.2,WHU,13.77,antonio
365,Broja,5.4,74,FWD,3.5,SOU,13.70,broja
431,Soucek,5.7,77,MID,3.2,WHU,13.51,soucek
70,Maupay,6.6,89,FWD,3.9,BHA,13.48,maupay
186,Tielemans,6.4,86,MID,4.5,LEI,13.44,tielemans
170,Gray,5.5,73,MID,3.6,EVE,13.27,gray
41,Nørgaard,5.0,66,MID,2.6,BRE,13.20,nørgaard
315,Saint-Maximin,6.9,91,FWD,4.0,NEW,13.19,saint-maximin
215,Meslier,4.8,63,GKP,2.6,LEE,13.12,meslier
109,Kovacic,5.0,65,MID,3.8,CHE,13.00,kovacic
255,Walker,5.4,70,DEF,4.4,MCI,12.96,walker
172,Gordon,4.5,58,MID,2.9,EVE,12.89,gordon
69,Veltman,4.2,54,DEF,2.6,BHA,12.86,veltman
423,Dawson,4.9,63,DEF,2.7,WHU,12.86,dawson
71,Trossard,6.0,77,MID,3.3,BHA,12.83,trossard
237,Fabinho,5.4,69,MID,3.8,LIV,12.78,fabinho
271,Rodrigo,5.5,70,MID,3.3,MCI,12.73,rodrigo
92,Lowton,4.4,56,DEF,3.1,BUR,12.73,lowton
44,Canós,5.5,69,MID,2.8,BRE,12.55,canos
409,King,5.9,74,FWD,3.4,WAT,12.54,king
169,Townsend,5.2,64,MID,3.4,EVE,12.31,townsend
206,Dallas,4.9,60,MID,2.5,LEE,12.24,dallas
146,Ward,4.5,55,DEF,2.4,CRY,12.22,ward
133,Kouyaté,4.5,55,DEF,3.1,CRY,12.22,kouyate
125,Chalobah,4.7,57,DEF,4.1,CHE,12.13,chalobah
151,Edouard,6.6,80,FWD,3.8,CRY,12.12,edouard
24,McGinn,5.7,69,MID,3.3,AVL,12.11,mcginn
427,Coufal,4.8,58,DEF,2.6,WHU,12.08,coufal
68,Webster,4.4,53,DEF,3.5,BHA,12.05,webster
348,McCarthy,4.4,53,GKP,3.5,SOU,12.05,mccarthy
31,Konsa,4.9,59,DEF,2.8,AVL,12.04,konsa
324,Krul,4.5,54,GKP,2.8,NOR,12.00,krul
104,Azpilicueta,5.6,67,DEF,3.9,CHE,11.96,azpilicueta
444,Marçal,4.2,50,DEF,3.8,WOL,11.90,marcal
76,Mac Allister,5.3,63,MID,3.1,BHA,11.89,mac allister
159,Doucouré,5.3,63,MID,3.9,EVE,11.89,doucoure
42,Toney,6.5,77,FWD,3.7,BRE,11.85,toney
216,Harrison,5.5,65,MID,3.1,LEE,11.82,harrison
77,Moder,4.5,53,MID,2.2,BHA,11.78,moder
373,Son,10.8,127,MID,6.3,TOT,11.76,son
446,Neves,5.3,62,MID,2.8,WOL,11.70,neves
89,Mee,4.8,56,DEF,3.1,BUR,11.67,mee
281,Maguire,5.4,63,DEF,2.9,MUN,11.67,maguire
217,James,6.0,70,MID,3.2,LEE,11.67,james
83,Tarkowski,4.9,57,DEF,2.9,BUR,11.63,tarkowski
74,Lamptey,4.5,52,DEF,2.9,BHA,11.56,lamptey
256,Gündogan,7.1,82,MID,4.6,MCI,11.55,gundogan
270,Foden,7.9,91,MID,5.1,MCI,11.52,foden
65,Duffy,4.1,47,DEF,2.9,BHA,11.46,duffy
328,Hanley,4.4,50,DEF,2.4,NOR,11.36,hanley
32,Douglas Luiz,4.4,50,MID,2.5,AVL,11.36,douglas luiz
13,Martinelli,5.3,60,MID,4.0,ARS,11.32,martinelli
354,Walker-Peters,4.8,54,DEF,2.8,SOU,11.25,walker-peters
392,Foster,4.1,46,GKP,3.5,WAT,11.22,foster
157,Allan,4.3,48,MID,2.4,EVE,11.16,allan
43,Raya,4.3,48,GKP,4.0,BRE,11.16,raya
356,Adams,6.9,77,FWD,4.1,SOU,11.16,adams
299,Targett,4.7,52,DEF,2.7,NEW,11.06,targett
259,Mahrez,8.7,96,MID,5.1,MCI,11.03,mahrez
47,Janelt,5.0,55,MID,2.8,BRE,11.00,janelt
66,Dunk,4.8,52,DEF,3.2,BHA,10.83,dunk
29,Buendía,6.2,67,MID,3.0,AVL,10.81,buendia
403,Sarr,5.7,61,MID,4.4,WAT,10.70,sarr
391,Sissoko,4.4,47,MID,2.1,WAT,10.68,sissoko
361,Salisu,4.5,48,DEF,2.0,SOU,10.67,salisu
349,Romeu,4.5,48,MID,2.1,SOU,10.67,romeu
376,Lucas Moura,6.4,68,MID,3.1,TOT,10.62,lucas moura
285,Fernandes,11.7,124,MID,5.0,MUN,10.60,fernandes
136,Zaha,6.8,72,MID,3.6,CRY,10.59,zaha
425,Lanzini,5.8,61,MID,3.2,WHU,10.52,lanzini
331,Aarons,4.3,45,DEF,1.9,NOR,10.47,aarons
208,Llorente,4.5,47,DEF,2.6,LEE,10.44,llorente
445,Dendoncker,4.7,49,MID,2.5,WOL,10.43,dendoncker
115,Christensen,4.6,48,DEF,3.4,CHE,10.43,christensen
364,Elyounoussi,5.4,56,MID,3.1,SOU,10.37,elyounoussi
260,Sterling,10.7,110,MID,5.0,MCI,10.28,sterling
249,Tsimikas,3.7,38,DEF,3.8,LIV,10.27,tsimikas
95,Taylor,4.4,45,DEF,2.8,BUR,10.23,taylor
388,Emerson Royal,4.8,49,DEF,2.7,TOT,10.21,emerson royal
289,McTominay,5.4,55,MID,2.4,MUN,10.19,mctominay
442,Jiménez,7.5,76,FWD,3.5,WOL,10.13,jimenez
191,Barnes,6.5,65,MID,3.6,LEI,10.00,barnes
350,Redmond,5.9,59,MID,3.1,SOU,10.00,redmond
421,Yarmolenko,5.1,10,MID,0.9,WHU,1.96,yarmolenko
360,Djenepo,5.2,10,MID,1.1,SOU,1.92,djenepo
250,Elliott,5.3,10,MID,2.0,LIV,1.89,elliott
246,Kelleher,4.3,8,GKP,4.0,LIV,1.86,kelleher
332,Sørensen,4.3,8,DEF,1.3,NOR,1.86,sørensen
366,Long,5.4,10,FWD,2.0,SOU,1.85,long
