,name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
371,Fraser,NEW,MID,5.5,Available,1459,78,8,2.9,0.3
372,Lascelles,NEW,DEF,4.5,Available,2055,47,2,1.8,0.2
373,Gayle,NEW,FWD,4.5,Available,34,7,0,0.9,3.1
374,Dummett,NEW,DEF,4.0,Available,197,7,0,2.3,0.5
375,Manquillo,NEW,DEF,4.5,Available,1258,38,0,2.0,0.1
376,Krafth,NEW,DEF,4.5,Available,1636,58,3,2.9,0.1
377,Murphy,NEW,MID,4.5,Available,1457,62,0,1.9,9.7
378,Schär,NEW,DEF,4.5,Available,2158,88,10,3.5,0.9
379,Targett,NEW,DEF,5.0,Available,2871,101,7,3.1,1.5
380,Saint-Maximin,NEW,MID,6.5,Available,2804,116,15,3.3,8.5
381,Almirón,NEW,MID,5.0,Available,1706,59,0,2.0,0.4
382,S.Longstaff,NEW,MID,4.5,Available,1458,48,1,2.0,1.2
383,Joelinton,NEW,MID,6.0,Available,2554,83,7,2.4,0.7
384,Lewis,NEW,DEF,4.5,Available,261,10,0,2.0,0.1
385,Willock,NEW,MID,5.0,Available,2037,79,3,2.7,0.9
386,Bruno Guimarães,NEW,MID,6.0,Available,1031,67,11,3.9,21.3
387,Hendrick,NEW,MID,4.5,Available,69,8,0,2.7,0.1
388,Pope,NEW,GKP,5.0,Available,3240,130,12,3.6,5.7
389,Botman,NEW,DEF,4.5,Available,0,0,0,0.0,4.3
390,N.Williams,NFO,DEF,4.0,Available,7,4,0,4.0,12.3
391,Arter,NFO,MID,4.5,Available,0,0,0,0.0,0.4
392,Cook,NFO,DEF,4.5,Available,0,0,0,0.0,0.3
393,Taylor,NFO,FWD,4.5,Available,0,0,0,0.0,11.4
394,Colback,NFO,MID,4.5,Available,0,0,0,0.0,5.3
395,Samba,NFO,GKP,4.5,NotAvail,0,0,0,0.0,0.1
396,Cafú,NFO,MID,4.5,Available,0,0,0,0.0,0.7
397,Lolley,NFO,MID,5.0,Available,0,0,0,0.0,0.1
